group,type,sampleID,PFHxA_peakArea,PFHxA_RT,13C2PFHxA_peakArea,13C2PFHxA_RT,PFHpA_peakArea,PFHpA_RT,PFOA_peakArea,PFOA_RT,13C4PFOA_peakArea,13C4PFOA_RT,PFNA_peakArea,PFNA_RT,13C5PFNA_peakArea,13C5PFNA_RT,PFDA_peakArea,PFDA_RT,13C2PFDA_peakArea,13C2PFDA_RT,PFHxS_peakArea,PFHxS_RT,13C4PFHxS_peakArea,13C4PFHxS_RT,PFOS_peakArea,PFOS_RT,13C4PFOS_peakArea,13C4PFOS_RT
E,unknown,Grp E NIA Sediment Sample #2 (Replicate 2),9.10E+02,3.54,3.79E+03,3.58,8.44E+02,3.77,5.03E+03,3.86,1.61E+04,3.87,2.45E+03,4.01,1.72E+04,4.02,8.20E+02,4.18,1.62E+04,4.15,1.74E+03,3.8,6.91E+02,3.72,2.54E+03,4.03,6.60E+02,4.02
E,unknown,Grp E NIA Sediment Sample #2 (Replicate 3),8.38E+02,3.54,3.99E+03,3.55,7.00E+02,3.71,4.12E+03,3.91,1.53E+04,3.87,1.07E+03,4,1.53E+04,4.03,8.92E+02,4.18,1.44E+04,4.21,1.65E+03,3.86,7.53E+02,3.77,1.85E+03,4.02,6.00E+02,3.99
E,unknown,Grp E NIA Sand Spike #2,7.11E+03,3.6,1.40E+03,3.57,4.44E+04,3.71,8.28E+04,3.87,1.18E+04,3.86,6.37E+04,4.02,1.09E+04,4.03,7.22E+04,4.18,1.16E+04,4.21,2.71E+03,3.75,1.61E+02,3.7,2.41E+03,4.04,4.82E+02,4.05
E,unknown,Grp E NIA Sediment Lab Blank #2,0.00E+00,0,2.28E+03,3.56,2.05E+02,3.78,1.28E+03,3.93,1.60E+04,3.86,4.66E+02,4.1,1.26E+04,4.03,6.80E+02,4.21,1.54E+04,4.2,0.00E+00,0,8.03E+02,3.72,0.00E+00,0,6.86E+02,3.99
E,unknown,Grp E NIA Sediment Field Blank #2,3.49E+02,3.58,1.59E+03,3.59,1.68E+03,3.73,1.55E+04,3.88,1.36E+04,3.87,2.17E+03,4.05,1.28E+04,4.04,5.98E+03,4.2,1.53E+04,4.22,0.00E+00,0,2.00E+02,3.71,0.00E+00,0,3.75E+02,4.03
F,unknown,Grp F NIA Sediment Sample #3 (Replicate 1),8.37E+02,3.58,8.47E+03,3.62,1.14E+03,3.81,7.00E+03,3.89,2.14E+04,3.88,2.76E+03,4.03,2.58E+04,4.04,1.70E+03,4.19,2.24E+04,4.17,2.08E+03,3.81,9.64E+02,3.7,3.27E+03,4.02,5.71E+02,4.03
F,unknown,Grp F NIA Sediment Sample #3 (Replicate 2),1.31E+03,3.59,5.19E+03,3.57,1.37E+03,3.71,4.91E+03,3.88,1.82E+04,3.88,2.11E+03,4.02,1.90E+04,4.04,8.19E+02,4.2,1.62E+04,4.2,1.57E+03,3.86,6.82E+02,3.76,1.57E+03,4,7.56E+02,4.04
F,unknown,Grp F NIA Sediment Sample #3 (Replicate 3),7.50E+02,3.63,2.88E+03,3.53,1.80E+03,3.79,4.91E+03,3.91,1.69E+04,3.86,1.29E+03,4.02,1.70E+04,4.02,7.75E+02,4.18,1.60E+04,4.2,1.41E+03,3.84,3.39E+02,3.71,2.26E+03,4.04,4.64E+02,4.03
F,unknown,Grp F NIA Sand Spike #3,7.11E+03,3.6,1.40E+03,3.57,5.02E+04,3.73,8.76E+04,3.88,1.31E+04,3.9,7.08E+04,4.04,1.37E+04,4.04,8.00E+04,4.19,1.36E+04,4.17,1.66E+03,3.72,2.73E+02,3.69,2.05E+03,4.02,3.39E+02,4.01
F,unknown,Grp F NIA Sediment Lab Blank #3,0.00E+00,0,2.28E+03,3.56,0.00E+00,0,0.00E+00,0,1.48E+04,3.88,3.53E+02,4.05,1.93E+03,4.02,2.74E+02,4.21,1.44E+04,4.19,0.00E+00,0,3.03E+02,3.77,0.00E+00,0,3.39E+02,4.04
