Congener,Sludge1_undiluted,Sludge2_undiluted,Sludge3_undiluted,Sludge4_undiluted,Sludge5_undiluted,Sludge6_undiluted,Sludge7_undiluted,Sludge8_undiluted,Sludge9_undiluted,Sludge10_undiluted,Sludge11_undiluted,Sludge12_undiluted,Sludge13_undiluted,Sludge14_undiluted,Sludge15_undiluted,Sludge16_undiluted,Sludge17_undiluted,Sludge18_undiluted,Sludge19_undiluted,Sludge20_undiluted,Sludge21_undiluted,Sludge22_undiluted,Sludge23_undiluted,Sludge24_undiluted,Sludge25_undiluted
C18H29Cl9,0,7.095736943,0,0,0,0,0,0,0,6.555371017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.474063815
C18H30Cl8,0,0,0,0,0,0,0,0,0,0,0,4.867145628,0,0,0,0,3.788858287,0,0,4.448327874,0,0,0,0,0
C18H31Cl7,0,2.686127578,0,0,0,0,0,0,0,0,0,4.773057874,0,0,0,0,3.893784677,0,0,0,0,5.674461066,0,0,0
C18H32Cl6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7347194,0,0,0
C18H33Cl5,0,0,0,0,0,0,0,2.242149748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C19H21Cl19,0,0,0,0,0,0,0,6.121138015,7.726298667,0,0,0,0,0,0,0,0,0,0,0,0,0,6.261716384,0,8.202696812
C19H22Cl18,0,0,0,0,13.65062079,0,0,10.31871231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.6908207,140.416252,0
C19H23Cl17,0,0,11.8149782,0,242.9899138,0,7.485594073,20.22368333,0,0,9.760558115,1.002776799,0,0,0,0,0,0,0,0,0,8.174259743,43.86568496,65.11426043,0
C19H24Cl16,0,0,36.26504124,0,116.6447385,7.468943422,28.84780214,86.07877447,80.07674965,5.423984601,0,6.253637589,0,0,1.625785066,0,0,0.777145528,0,0,0,0,98.81703075,32.04025968,5.108829682
C19H25Cl15,0,0,0,0,0,0,0,0,10.48455644,0,0,0,0,0,0,0,0,0,0,0,0,0,4.239832776,0,0
C19H26Cl14,0,0,0,0,0,0,0,0,0,0,0,0,5.064437081,0,3.594350096,0,0,0,0,0,7.285867022,0,26.12975806,22.96909862,38.00652056
