sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam2-PM1,AirBeam2:001896105519,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2019-09-19T12:14:06.516-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:14:07.521-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:14:08.523-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:14:09.508-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:14:10.508-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:14:11.523-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:14:12.533-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:14:13.527-0400,43.6665177,-79.3981142,5.0
2019-09-19T12:14:14.510-0400,43.6665177,-79.3981142,5.0
2019-09-19T12:14:15.527-0400,43.6665177,-79.3981142,5.0
2019-09-19T12:14:16.503-0400,43.6665177,-79.3981142,6.0
2019-09-19T12:14:17.503-0400,43.6665177,-79.3981142,6.0
2019-09-19T12:14:18.516-0400,43.6665177,-79.3981142,5.0
2019-09-19T12:14:19.533-0400,43.6665177,-79.3981142,5.0
2019-09-19T12:14:20.523-0400,43.6665177,-79.3981142,6.0
2019-09-19T12:14:21.521-0400,43.6665177,-79.3981142,6.0
2019-09-19T12:14:22.525-0400,43.6665177,-79.3981142,6.0
2019-09-19T12:14:23.513-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:14:24.523-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:14:25.532-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:14:26.532-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:14:27.529-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:14:28.514-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:14:29.521-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:14:30.506-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:14:31.519-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:14:32.507-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:14:33.525-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:14:34.496-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:14:35.508-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:14:36.527-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:14:37.501-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:14:38.519-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:14:39.518-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:14:40.513-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:14:41.518-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:14:42.533-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:14:43.523-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:14:44.536-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:14:45.521-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:14:46.505-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:14:47.504-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:14:48.526-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:14:49.521-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:14:50.529-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:14:51.528-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:14:52.490-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:14:53.538-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:14:54.525-0400,43.6665177,-79.3981142,2.0
2019-09-19T12:14:55.517-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:14:56.517-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:14:57.524-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:14:58.483-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:14:59.503-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:15:00.503-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:15:01.514-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:15:02.524-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:15:03.533-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:04.515-0400,43.6665177,-79.3981142,3.0
2019-09-19T12:15:05.511-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:15:06.514-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:15:07.527-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:15:08.533-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:15:09.521-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:15:10.517-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:15:11.504-0400,43.6665177,-79.3981142,5.0
2019-09-19T12:15:12.525-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:15:13.515-0400,43.6665177,-79.3981142,4.0
2019-09-19T12:15:14.528-0400,43.6665177,-79.3981142,4.0
