wavenumber,EPDM,Neoprene,Mylar,PTFE,PVC,Polystyrene,Polyethylene,Sample: eyeglass bag,Sample: Gloves (KC500),Sample: Shopping bag
964.2334,0.5041165,0.484349,0.1788811,0.00742881,0.09159133,0.2027968,0.00376915,0.02987223,0.1731655,0.0193661
964.7155,0.5072195,0.4862819,0.1830231,0.007434216,0.0913076,0.2062191,0.003754447,0.02993684,0.1746361,0.01944086
965.1976,0.5103837,0.4881602,0.1871551,0.007443175,0.0909624,0.209537,0.003751869,0.03000368,0.1754927,0.01952114
965.6797,0.5136091,0.4899782,0.1912231,0.007457117,0.09055392,0.2126987,0.003767341,0.03007444,0.1757564,0.01960856
966.1619,0.5168958,0.4917338,0.1951604,0.007475734,0.09008165,0.2156405,0.003801091,0.03014931,0.1754584,0.01970179
966.6439,0.5202415,0.4934281,0.1988863,0.007496844,0.08954638,0.2182864,0.003849268,0.03022631,0.1746362,0.019797
967.1261,0.5236429,0.4950684,0.2023077,0.007517448,0.08894968,0.2205514,0.003904843,0.03030265,0.1733317,0.01989042
967.6082,0.5270941,0.4966674,0.20532,0.007534936,0.08829426,0.222346,0.003960834,0.03037551,0.1715903,0.01998051
968.0903,0.5305847,0.4982402,0.2078118,0.00754826,0.08758346,0.2235833,0.004012354,0.03044361,0.16946,0.02006876
968.5724,0.5340984,0.4998012,0.2096712,0.007557933,0.08682081,0.2241866,0.004057251,0.03050712,0.16699,0.02015857
969.0546,0.537614,0.5013614,0.2107954,0.007565555,0.08601057,0.224098,0.004096554,0.03056778,0.1642304,0.0202534
969.5366,0.5411071,0.5029264,0.211101,0.007572816,0.08515651,0.223284,0.004132617,0.0306273,0.1612289,0.0203547
970.0188,0.5445553,0.5044991,0.2105354,0.007580902,0.08426236,0.2217408,0.004168136,0.03068778,0.1580302,0.02046104
970.5009,0.5479398,0.5060782,0.2090832,0.007590105,0.08333138,0.2194942,0.004204635,0.03075015,0.1546741,0.02056817
970.983,0.5512501,0.5076622,0.2067716,0.007600427,0.08236622,0.2165992,0.004242601,0.03081491,0.1511952,0.02067167
971.4651,0.5544841,0.5092509,0.2036683,0.007611868,0.08136917,0.2131353,0.004281552,0.03088243,0.1476232,0.02076855
971.9473,0.557647,0.5108464,0.1998758,0.007625091,0.08034205,0.2092024,0.004320837,0.03095286,0.1439841,0.02085847
972.4293,0.5607507,0.5124521,0.1955229,0.007641241,0.079286,0.2049139,0.004359642,0.03102608,0.1403015,0.02094312
972.9115,0.5638112,0.5140743,0.1907539,0.007661445,0.07820221,0.2003905,0.004397317,0.03110133,0.1365974,0.02102534
973.3936,0.5668472,0.515717,0.1857165,0.0076857,0.07709133,0.1957519,0.004432223,0.0311771,0.1328916,0.02110698
973.8757,0.569881,0.5173838,0.1805534,0.007713497,0.07595546,0.1911107,0.004462568,0.03125143,0.1292043,0.0211887
974.3578,0.5729361,0.519073,0.1753925,0.007742962,0.07479706,0.1865644,0.004486317,0.03132242,0.1255537,0.02127014
974.84,0.5760368,0.5207782,0.1703425,0.007772387,0.07362051,0.1821926,0.004501956,0.03138919,0.1219577,0.02135125
975.322,0.5792069,0.5224885,0.165489,0.007800588,0.07243162,0.1780539,0.004509832,0.03145292,0.1184327,0.02143326
975.8042,0.5824665,0.5241909,0.1608955,0.007828091,0.07123794,0.1741886,0.004512518,0.03151656,0.1149953,0.0215197
976.2863,0.5858297,0.525871,0.1566034,0.007855684,0.07004695,0.1706195,0.004514745,0.03158367,0.1116586,0.02161362
976.7684,0.5893062,0.5275188,0.1526365,0.007885019,0.06886679,0.1673584,0.004522017,0.03165786,0.1084347,0.02171759
977.2505,0.5928987,0.5291265,0.1490031,0.007916322,0.0677036,0.1644079,0.004539018,0.03174022,0.1053307,0.02183042
977.7327,0.5966085,0.530692,0.1457009,0.007948713,0.06656248,0.1617651,0.004567405,0.03182997,0.1023505,0.02194848
978.2147,0.600435,0.5322142,0.1427197,0.007979847,0.06544636,0.1594233,0.004605295,0.03192464,0.09949441,0.02206597
978.6969,0.6043781,0.5336924,0.1400458,0.008007769,0.06435706,0.1573739,0.004647096,0.03202127,0.09676139,0.02217875
979.179,0.6084387,0.5351231,0.1376651,0.008031087,0.0632958,0.1556065,0.00468569,0.03211813,0.09415076,0.02228529
979.6611,0.612618,0.5365006,0.1355657,0.008050259,0.06226335,0.1541118,0.004714507,0.032215,0.09166384,0.02238819
980.1432,0.6169147,0.5378172,0.1337397,0.008067394,0.06126061,0.1528817,0.004729125,0.03231346,0.08930495,0.02249321
980.6254,0.6213262,0.5390673,0.1321837,0.008084577,0.06028877,0.1519117,0.004728867,0.03241596,0.08707978,0.02260651
981.1074,0.625847,0.5402489,0.1308993,0.008103657,0.0593489,0.1512006,0.00471693,0.03252422,0.08499425,0.02273244
981.5896,0.6304724,0.5413662,0.129892,0.008124844,0.05844235,0.1507513,0.004699258,0.03263872,0.08305258,0.02287225
982.0717,0.6351972,0.5424275,0.1291702,0.008147077,0.05756995,0.15057,0.004682391,0.03275844,0.08125529,0.02302373
982.5538,0.6400189,0.5434427,0.1287451,0.008168695,0.05673314,0.1506654,0.004672026,0.03288224,0.07959971,0.02318421
983.0359,0.6449375,0.5444205,0.1286297,0.008188941,0.05593315,0.1510475,0.004671899,0.03300914,0.07808125,0.02335148
983.5181,0.6499534,0.5453649,0.1288359,0.008208803,0.05517159,0.1517255,0.004683967,0.03313935,0.07669455,0.02352574
984.0001,0.6550676,0.5462738,0.1293713,0.008230874,0.0544494,0.1527026,0.004708381,0.03327421,0.07543583,0.02370903
984.4823,0.660279,0.5471411,0.1302315,0.008258054,0.05376668,0.1539707,0.004744934,0.0334155,0.07430291,0.02390358
984.9644,0.6655843,0.5479575,0.1313929,0.008291776,0.05312166,0.1555018,0.004793936,0.03356393,0.07329439,0.02411018
985.4465,0.6709784,0.5487147,0.1328042,0.008331459,0.05251108,0.1572416,0.004856309,0.03371893,0.07240915,0.02432671
985.9286,0.6764535,0.549406,0.1343818,0.008374276,0.0519306,0.1591059,0.004933497,0.03387874,0.07164472,0.02454911
986.4108,0.6820002,0.5500271,0.1360121,0.008416066,0.05137537,0.1609833,0.005025692,0.03404153,0.07099703,0.02477226
